id	time	电需求	热需求	泛能机产电量	泛能机产热量	泛能机消耗燃气量	补燃锅炉产热量	补燃锅炉消耗燃气量	泛能机电效率	泛能机热效率	补燃锅炉热效率	市电	市热	光伏消耗	光伏存储	光伏产电量	光热消耗	光热存储	光热产热量	储电量	储热量
3704	06/03 07	1.20 	1.02 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.83 	0.00 	0.36 	0.00 	0.36 	1.02 	0.798609813	1.82 	0.00 	0.97 
3705	06/03 08	0.37 	0.00 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.00 	0.00 	0.37 	0.11 	0.48 	0.00 	2.410187459	2.41 	0.11 	3.36 
3706	06/03 09	0.53 	0.00 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.00 	0.00 	0.53 	0.05 	0.58 	0.00 	2.903169108	2.90 	0.16 	6.23 
3707	06/03 10	0.53 	0.00 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.00 	0.00 	0.53 	0.57 	1.10 	0.00 	5.499454034	5.50 	0.71 	7.00 
3708	06/03 11	0.84 	0.00 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.00 	0.00 	0.84 	0.63 	1.47 	0.00 	7.355635971	7.36 	1.33 	7.00 
3709	06/03 12	0.84 	0.00 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.00 	0.00 	0.84 	0.58 	1.42 	0.00 	7.103219652	7.10 	1.90 	7.00 
3710	06/03 13	0.84 	0.00 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.00 	0.00 	0.84 	0.43 	1.28 	0.00 	6.38337416	6.38 	2.32 	7.00 
3711	06/03 14	0.84 	0.00 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.00 	0.00 	0.82 	0.00 	0.82 	0.00 	4.102378899	4.10 	2.30 	7.00 
3712	06/03 15	0.84 	0.00 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.00 	0.00 	0.36 	0.00 	0.36 	0.00 	1.818189514	1.82 	1.81 	7.00 
3713	06/03 16	1.40 	0.00 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.00 	0.00 	0.41 	0.00 	0.41 	0.00 	2.046062101	2.05 	0.79 	7.00 
3714	06/03 17	2.10 	0.60 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	1.20 	0.00 	0.13 	0.00 	0.13 	0.60 	0.027469148	0.63 	0.00 	7.00 
3715	06/03 18	3.27 	0.60 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	3.22 	0.00 	0.05 	0.00 	0.05 	0.24 	0	0.24 	0.00 	6.64 
3716	06/03 19	3.27 	2.04 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	3.27 	0.00 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.00 	4.58 
3717	06/03 20	3.11 	2.04 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	3.11 	0.00 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.00 	2.51 
3718	06/03 21	2.65 	2.04 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	2.65 	0.00 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.00 	0.45 
3719	06/03 22	1.71 	0.00 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	1.71 	0.00 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.00 	0.45 
3720	06/03 23	0.23 	0.00 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.23 	0.00 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.00 	0.45 
3721	06/04 00	0.07 	0.00 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.07 	0.00 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.00 	0.45 
3722	06/04 01	0.07 	0.00 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.07 	0.00 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.00 	0.45 
3723	06/04 02	0.07 	0.00 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.07 	0.00 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.00 	0.45 
3724	06/04 03	0.07 	0.00 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.07 	0.00 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.00 	0.45 
3725	06/04 04	0.07 	0.00 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.02 	0.00 	0.05 	0.00 	0.05 	0.00 	0.24712113	0.25 	0.00 	0.69 
3726	06/04 05	1.20 	1.02 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.98 	0.00 	0.21 	0.00 	0.21 	1.02 	0.047075752	1.07 	0.00 	0.74 
3727	06/04 06	1.83 	1.02 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	1.42 	0.00 	0.41 	0.00 	0.41 	1.02 	1.018245066	2.04 	0.00 	1.75 
